pos	RD	IFTV	DS	DT	ISCNV
0	-10000.0	0.3345416294291911	-100.0	-100.0	0
1	-10000.0	0.3345416294291911	-100.0	-100.0	0
2	-10000.0	0.3345416294291911	-100.0	-100.0	0
3	-10000.0	0.3345416294291911	-100.0	-100.0	0
4	-10000.0	0.3345416294291911	-100.0	-100.0	0
5	-10000.0	0.3345416294291911	-100.0	-100.0	0
6	-10000.0	0.3345416294291911	-100.0	-100.0	0
7	-10000.0	0.3345416294291911	-100.0	-100.0	0
8	-10000.0	0.3345416294291911	-100.0	-100.0	0
9	-10000.0	0.3345416294291911	-100.0	-100.0	0
10	-10000.0	0.3345416294291911	-100.0	-100.0	0
11	-10000.0	0.3345416294291911	-100.0	-100.0	0
12	-10000.0	0.3345416294291911	-100.0	-100.0	0
13	-10000.0	0.3345416294291911	-100.0	-100.0	0
14	-10000.0	0.3345416294291911	-100.0	-100.0	0
15	-10000.0	0.3345416294291911	-100.0	-100.0	0
16	-10000.0	0.3345416294291911	-100.0	-100.0	0
17	-10000.0	0.3345416294291911	-100.0	-100.0	0
18	-10000.0	0.3345416294291911	-100.0	-100.0	0
19	-10000.0	0.3345416294291911	-100.0	-100.0	0
20	-10000.0	0.3345416294291911	-100.0	-100.0	0
21	-10000.0	0.3345416294291911	-100.0	-100.0	0
22	-10000.0	0.3345416294291911	-100.0	-100.0	0
23	-10000.0	0.3345416294291911	-100.0	-100.0	0
24	-10000.0	0.3345416294291911	-100.0	-100.0	0
25	-10000.0	0.3345416294291911	-100.0	-100.0	0
26	-10000.0	0.3345416294291911	-100.0	-100.0	0
27	-10000.0	0.3345416294291911	-100.0	-100.0	0
28	-10000.0	0.3345416294291911	-100.0	-100.0	0
29	-10000.0	0.3345416294291911	-100.0	-100.0	0
30	-10000.0	0.3345416294291911	-100.0	-100.0	0
31	-10000.0	0.3345416294291911	-100.0	-100.0	0
32	-10000.0	0.3345416294291911	-100.0	-100.0	0
33	-10000.0	0.3345416294291911	-100.0	-100.0	0
34	-10000.0	0.3345416294291911	-100.0	-100.0	0
35	-10000.0	0.3345416294291911	-100.0	-100.0	0
36	-10000.0	0.3345416294291911	-100.0	-100.0	0
37	-10000.0	0.3345416294291911	-100.0	-100.0	0
38	-10000.0	0.3345416294291911	-100.0	-100.0	0
39	-10000.0	0.3345416294291911	-100.0	-100.0	0
40	-10000.0	0.3345416294291911	-100.0	-100.0	0
41	-10000.0	0.3345416294291911	-100.0	-100.0	0
42	-10000.0	0.3345416294291911	-100.0	-100.0	0
43	-10000.0	0.3345416294291911	-100.0	-100.0	0
44	-10000.0	0.3345416294291911	-100.0	-100.0	0
45	-10000.0	0.3345416294291911	-100.0	-100.0	0
46	-10000.0	0.3345416294291911	-100.0	-100.0	0
47	-10000.0	0.3345416294291911	-100.0	-100.0	0
48	-10000.0	0.3345416294291911	-100.0	-100.0	0
